index,Cement(kg/m3),Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3),FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),GUI_prediction_MPa,Pipeline_prediction_MPa,Absolute_difference_MPa
900,267.0,186.9,1307.0,637.0,178.0,0.0,0.0,1.11,28.279557460137244,28.279557460137244,0.0
1079,260.0,214.9,832.0,785.0,130.0,0.0,130.0,5.67,31.966421401167594,31.966421401167594,0.0
365,180.0,180.0,640.0,1053.0,225.0,45.0,0.0,2.34,42.21962950390489,42.21962950390489,0.0
1445,178.56,197.0,1011.93,795.09,0.0,9.75,0.0,0.0,26.322815072082754,26.322815072082754,0.0
986,432.7,185.5,745.7,829.0,30.906,51.51,0.0,11.332552,55.49826686540004,55.49826686540004,0.0
371,300.0,175.0,663.0,923.0,200.0,0.0,0.0,7.5,44.66855458923314,44.66855458923314,0.0
718,346.5,131.67,872.0,872.0,0.0,10.5,63.0,2.016,56.60218603426608,56.60218603426608,0.0
486,120.0,160.0,1200.0,600.0,280.0,0.0,0.0,0.0,17.32977299692016,17.32977299692016,0.0
626,405.0,171.0,735.0,990.0,0.0,45.0,0.0,8.0,61.06014817611718,61.06014817611718,0.0
477,120.0,112.0,1200.0,600.0,280.0,0.0,0.0,5.6,34.222773211167436,34.222773211167436,0.0
674,253.6,190.0,1396.0,698.0,31.7,31.7,0.0,0.0,15.597951922504745,15.597951922504745,0.0
1407,135.0,135.0,875.0,875.0,135.0,45.0,135.0,2.714,69.7267052541402,69.7267052541402,0.0
649,350.0,167.0,947.0,692.0,100.0,0.0,0.0,8.1,41.44595362751826,41.44595362751826,0.0
720,325.5,123.69,868.0,868.0,0.0,31.5,63.0,2.016,50.59181269953559,50.59181269953559,0.0
